sentence,pred_sentence_tok
มีปลาไหลแก้วอยู่ในเมนูวันนี้ก็จริง แต่มันก็แพงเกินไป,มี ปลาไหล แก้ว อยู่ ใน เมนู ว นี้ ก็ จริง   แต่ มัน ก็ แพง เกินไป
เขาตัดสินใจไม่ได้ว่าจะอาบน้ำหรือจะแช่อ่างดี,เขา ตัดสินใจ ไม่ ได้ ว่า จะ อาบน้ำ หรือ จะ แช่ อ่าง ดี
คุณจะทำอันนี้ไหม,คุณ จะ ทำ อันนี้ ไหม
คุณกำลังทำอะไรอยู่ที่นั่น,คุณ กำลัง ทำ อะไร อยู่ ที่นั่น
ไม่มีอะไรที่ดีกว่านี้อีกแล้ว,ไม่ มี อะไร ที่ ดีกว่า นี้ อีกแล้ว
ขอโทษนะฉันจะหาหนังสือการบัญชีเพื่อยืมได้ที่ไหน,ขอโทษ นะ   ฉัน จะ หาน หนังสือ การบัญชี เพื่อ ยืม ได้ ที่ไหน
คุณกล้าพอไหมที่จะเข้ามาขัดขวางและก่อกวน,คุณ กล้า พ่อ ไหม ที่จะ เข้ามา ขัดขวาง และ ก่อกวน
ได้ละ เธอร้องไห้อย่างดีใจในชัยชนะ,ได้ ละ   เธอ ร้องไห้ อย่าง ดีใจ ใน ชัยชนะ
เธอคาดว่าเค้กวันเกิดของเธอควรเป็นสีชมพูไม่ใช่สีม่วง,เธอ คาด ว่า เค้ก วันเกิด ของ เธอ ควร เป็น สีชมพู ไม่ ใช่ สีม่วง
คุณไม่รู้จักเขาใช่ไหม,คุณ ไม่ รู้จัก เขา ใช่ไหม
แต่ฉันไม่เชื่อว่าเขาจะแต่งงานกัน,แต่ ฉัน ไม่ เชื่อ ว่า เขา จะ แต่งงาน กัน
ยังมีอะไรอีกบ้างที่เกี่ยวกับการเมือง,ยังมี อะไร อีก บ้าง ที่ เกี่ยวกับ การเมือง
ว้าว คุณไปไวมากบนซิปไลน์,ว้าว   คุณ ไป ไว้ มาก บน ซิบ ลาย
ฉันเข้าใจหมดแล้ว,ฉัน เข้าใจ หมด แล้ว
ที่โรงเรียนเด็กเล็กก่อนมาที่นี่,ที่ โรงเรียน เด็ก เล็ก ก่อน มา ที่นี่
เราชนะ,เรา ชนะ
คุณมีอะไร,คุณ มี อะไร
อลิซส่ายหัวไปมา,อ ลิ ซ ส่าย หัว ไปมา
ฉันยังไม่ได้ต้องการมันในอีกสองวันนี้หรอก,ฉัน ยัง ไม่ ได้ ต้องการ มัน อีก สอง วันนี้ หรอก
ก่อนที่ฟิลิปจะฟื้นตัว การ์ดของเจนนี่อยู่กับเขาตลอด,ก่อนที่ ฟิลิป จะ ฟื้นตัว กาด ของ เจน นี่ อยู่ กับ เขา ตลอด
แต่เขารักษาหน้าหล่อนอย่างดีแล้วก็ทำงานจนเสร็จ,แต่ เขา รักษา หน้า หล่อน อย่าง ดี แล้วก็ ทำงาน จุน เสร็จ
ยุงเป็นแมลงที่น่ารำคาญมากในฤดูร้อน และสามารถนำมาซึ่งความป่วยไข้ได้,ยุง เป็น แมลง ที่ น่ารำคาญ มาก ใน ฤดูร้อน และ สามารถ นำมาซึ่ง ความป่วยไข้ ได้
